QKEY,DEVICE_TYPE_W49,LANG_W49,FORM_W49,SOCMEDIAUSEa_W49,SOCMEDIAUSEb_W49,SOCMEDIAUSEc_W49,SOCMEDIAUSEd_W49,SNSUSER_W49,ELECTFTGSNSINT_W49,TALKDISASNSINT_W49,TALKCMNSNSINT_W49,SECUR1_W49,PRIVACYNEWS1_W49,HOMEASSIST1_W49,HOMEASSIST2_W49,HOMEASSIST3_W49,HOMEASSIST4_W49,HOMEASSIST5a_W49,HOMEASSIST5b_W49,HOMEIOT_W49,FITTRACK_W49,LOYALTY_W49,DNATEST_W49,TRACKCNT_W49,TRACKCO1a_W49,TRACKCO1b_W49,CONCERNCO_W49,BENEFITCO_W49,CONTROLCO_W49,UNDERSTANDCO_W49,POSNEGCO_W49,ANONYMOUS1CO_W49,TRACKGOV1a_W49,TRACKGOV1b_W49,CONCERNGOV_W49,BENEFITGOV_W49,CONTROLGOV_W49,UNDERSTANDGOV_W49,POSNEGGOV_W49,ANONYMOUS1GOV_W49,CONCERNGRPa_W49,CONCERNGRPb_W49,CONCERNGRPc_W49,CONCERNGRPd_W49,CONCERNGRPe_W49,CONCERNGRPf_W49,CONTROLGRPa_W49,CONTROLGRPb_W49,CONTROLGRPc_W49,CONTROLGRPd_W49,CONTROLGRPe_W49,CONTROLGRPf_W49,PP1_W49,PP2_W49,PP3_W49,PP4_W49,PP5a_W49,PP5b_W49,PP5c_W49,PP5d_W49,PP5e_W49,PP6a_W49,PP6b_W49,PP6c_W49,PRIVACYREG_W49,GOVREGV1_W49,GOVREGV2_W49,SHARE1_W49,KNOW1_W49,KNOW2_W49,KNOW3_W49,KNOW4_W49,KNOW5_W49,KNOW6_W49,KNOW7_W49,KNOW8_W49,KNOW9_W49,KNOW10_W49,TOTALKNOW_W49,PWMAN_W49,PWMAN2_W49,SMARTPHONE_W49,SMARTAPP_W49,PUBLICDATA_W49,RTBFa_W49,RTBFb_W49,RTBFc_W49,RTBFd_W49,RTDa_W49,RTDb_W49,RTDc_W49,RTDd_W49,PROFILE1_W49,PROFILE2_W49,PROFILE3_W49,PROFILE4_W49,PROFILE5_W49,DATAUSEa_W49,DATAUSEb_W49,DATAUSEc_W49,DATAUSEd_W49,DATAUSEe_W49,DATAUSEf_W49,FACE1_W49,FACE2a_W49,FACE2b_W49,FACE2c_W49,FACE3a_W49,FACE3b_W49,FACE3c_W49,FACE4a_W49,FACE4b_W49,FACE4c_W49,FACE4d_W49,DB1a_W49,DB1b_W49,DB1c_W49,F_METRO,F_CREGION,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_RACECMB,F_RACETHN,F_NATIVITY,F_CITIZEN,F_MARITAL,F_RELIG,F_BORN,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME,F_INCOME_RECODE,F_REG,F_IDEO,F_ACSWEB,F_VOLSUM,WEIGHT_W49
201801060563,3,9,1,1,2,2,2,1,3,2, ,2,3,2, , , , , ,1,2,1,1,3,1,1,1,4,3,3,2,2, , , , , , , , ,1,1,1, , , ,2,2,3, , , ,2,3,3,3,3,4,4,4,4,4,4,4,3,1, ,2,1,5,2,5,7,5,5,5,6,5,0,2,1,1,4,2,2,1,1,1, , , , ,2,2,1,2,1,1,2,1, , , ,3, , , , , , , , , , ,2,2,2,1,1,3,2,3,2,2,1,1,1,1,1,2,2,4,3,1,1,7,1,3,3,1,1,.8666071874
201801060760,3,9,2,1,1,2,1,1,2, ,2,2,3,2, , , , , ,2,2,1,1,2, , , , , , , , ,2,3,1,4,4,3,2,2, , , ,2,2,2, , , ,2,2,2,3,3,3,3,2,4,3,3,4,3,3,4,3, ,1,2,4,5,5,1,5,5,1,3,1,5,6,2,6,1,1,2, , , , ,1,1,1,1,2,3,1,2,3, , , ,1,2,2,2,2,2,2,2,2,2, , ,2,1,2,2,2,1,1,2,2,2,3,2,1,1,1,1,3,12, ,6,3,2,2,1,3,2,5,1,2,1.8914635757
201801060802,1,9,1,1,1,1,2,1,3,2, ,3,2,1,2,2,1,1, ,2,2,2,1,2,2,4,2,2,2,2,2,1, , , , , , , , ,2,2, , , , ,1,2,2, , , ,3,3,3,2,1,2,1,2,2,1,1,1,2,1, ,2,4,2,1,1,5,2,1,3,1,5,8,2,2,1,2,1,2,1,2,1, , , , ,1,2,1,1,1,3,1,3, , , ,1,1,1,2,3,3,1,1,2, , ,2,2,2,1,1,1,1,3,2,2,4,4,1,1,6,12, ,6,2, ,2,6,2,1,5,1,2,3.0902334065
201801060823,3,9,1,1,1,2,2,1,1,1, ,2,2,1,2,3,3,1, ,2,2,1,2,2,1,3,2,2,3,2,2,2, , , , , , , , ,2,2,2, , , ,1,1,1, , , ,1,2,2,2,3,2,2,3,3,3,3,3,2,1, ,1,4,2,1,5,1,5,5,5,1,4,4,1, ,1,3,2,2,2,1,1, , , , ,2,2,1,2,2,1,2,1, , , ,1,2,2,2,4,2,3,1,2, , ,2,1,1,1,1,3,2,1,5,2,1,1,1,1,1,5, ,4,2, ,2,9,1,1,4,1,1,.9639428348
201801060866,1,9,1,1,1,2,2,1,3,1, ,2,3,1,2,1,2,2, ,2,1,1,2,3,2,2,2,3,3,3,2,2, , , , , , , , ,3,3,3, , , ,3,3,3, , , ,4,3,2,3,3,3,3,3,3,3,3,3,3,1, ,2,1,5,99,1,7,1,5,5,2,5,1,1, ,1,3,2,2,1,1,1, , , , ,3, , , , ,1,3,1, , , ,2,2,2,2,3,3,3,1,2, , ,2,2,2,1,1,2,2,1,6,2,1,1,1,1,3,2,2,5,2, ,2,7,1,1,4,1,1,1.2745123524
201801060898,1,9,2,2,2,2,2,0, , , ,2,2,2, , , , , ,2,2,1,2,1, , , , , , , , ,1,2,1,1,1,1,2,2, , , ,1,1, , , , ,2,2,2,1,4, , ,3,3,3,3,3,2,2,2,3, ,1,1,5,5,5,5,7,5,5,5,6,5,0,2,1,1,1,1, , , , ,2,1,2,1,1,1,1,1,3, , , ,2,1,2,2,4,4,4,2,2,1, , ,2,1,1,2,1,1,1,3,1,3,2,2,1,1,1,1,1,2,2,2,1, ,1,7,1,1,3,1,2,1.4755098637
201801060937,2,9,2,1,2,2,2,1,1, ,2,2,3,2, , , , , ,2,2,2,2,0, , , , , , , , ,3,4,2,3,3,3,1,2, , , ,2,2,2, , , ,3,3,2,4,2,3,2,2,4,4,3,4,2,3,3,2, ,2,2,4,2,1,1,5,5,1,4,2,5,6,2,6,1,3,1, , , , ,2,1,2,2,2,3,1,2,3, , , ,3,3,3,2,2,2,2,3,3,2, , ,3,3,2,2,2,1,1,3,1,1,6,2,1,1,1,1,1,10, ,6,2, ,2,7,1,1,4,1,2,.5549326755
201801061021,3,9,2,2,2,2,2,0, , , ,2,2,2, , , , , ,2,1,1,2,2, , , , , , , , ,1,3,1,4,4,4,2,1, , , ,2,3, , , , ,2,2,3,1,4, , ,3,3,3,3,3,3,3,2,2, ,1,2,4,2,1,1,5,5,1,3,5,5,7,2,6,1,1,2, , , , ,2,1,1,1,1,1,1,2,3, , , ,1,1,2,2,2,3,3,4,2,2, , ,2,2,1,2,2,2,1,2,2,1,5,2,1,1,1,1,1,4,2,5,3,1,1,5,2,1,3,1,2,.875245853
201801061072,1,9,2,1,2,2,1,1,2, ,2,2,2,2, , , , , ,2,1,1,1,3, , , , , , , , ,4,5,2,3,4,4,2,2, , , ,1,2,1, , , ,2,3,3,1,3,3,3,2,2,3,2,4,3,3,3,3, ,2,1,4,2,2,1,5,5,1,4,1,5,6,2,6,1,1,1, , , , ,1,1,1,1,2,2,1,3,2, , , ,1,3,3,2,2,3,3,3,4,2, , ,2,1,2,2,2,1,1,3,2,1,6,2,1,1,1,1,1,1,2,2,2, ,2,9,1,1,5,1,1,.7418586069
201801061075,1,9,1,1,1,2,1,1,3,2, ,2,2,2, , , , , ,2,2,1,2,1,1,1,2,3,3,3,2,2, , , , , , , , ,3,1,3, , , ,2,3,3, , , ,2,3,3,3,4,4,4,4,4,3,3,3,3,1, ,2,5,5,5,5,5,5,5,5,5,5,1,2,6,1,1,1,2,1,2,1, , , , ,2,5,1,3,3,1,1,2, , , ,3, , , , , , , , , , ,2,2,2,1,1,1,2,3,2,2,1,1,1,1,1,1,1,5,3,2,2,5,2,2,3,1,1,.6327668671
201801061089,1,9,1,1,1,2,1,1,2,2, ,3,3,1,3,2,2,1, ,2,1,2,2,2,2,4,3,3,2,2,1,1, , , , , , , , ,3,1,3, , , ,2,2,2, , , ,4,4, , ,2,2,3,2,2,1,2,2,2,3, ,2,4,2,1,4,7,3,1,3,5,2,6,1, ,1,1,2,2,2,2,1, , , , ,2,3,2,2,2,2,3,3, , , ,2,2,2,2,4,2,2,3,3, , ,1,2,2,1,1,1,1,2,3,2,1,1,1,1,6,10, ,6,3,1,1,7,1,2,3,1,1,2.8419611488
201801061090,1,9,2,1,1,1,1,1,2, ,1,2,4,2, , , , , ,2,1,1,2,2, , , , , , , , ,1,1,1,3,2,3,2,2, , , ,1,3,1, , , ,1,2,1,1,4, , ,4,3,3,3,2,3,4,3,3, ,2,2,3,2,1,4,5,3,3,1,1,5,5,1, ,1,1,2, , , , ,2,2,2,2,1,1,1,2,3, , , ,2,2,1,2,3,3,2,2,3,2, , ,2,2,2,1,2,1,1,1,2,1,5,2,2,2,1,1,6,1,1,2,2, ,2,3,3,1,3,1,1,1.1257539255
201801061325,3,9,2,1,1,2,1,1,1, ,2,2,2,2, , , , , ,1,2,1,2,2, , , , , , , , ,2,3,1,4,4,4,1,2, , , ,1,3,1, , , ,2,3,2,3,4, , ,2,4,4,4,4,2,4,4,3, ,1,1,4,2,1,1,5,1,2,4,5,5,5,1, ,1,3,1, , , , ,1,1,1,1,3, , , , , , , ,2,2,1,2,1,3,2,4,1,1, , ,2,3,2,2,2,1,1,3,2,2,3,2,1,1,1,1,1,2,2,3,3,1,1,99,99,1,1,1,2,1.392564771
201801061331,1,9,1,1,2,2,2,1,3,2, ,1,3,2, , , , , ,2,1,1,1,3,2,2,3,3,3,3,1,1, , , , , , , , ,3,3,3, , , ,2,3,2, , , ,3,4, , ,2,2,3,3,2,2,3,2,3,1, ,1,4,2,5,1,1,5,5,5,1,5,4,2,3,1,4,2,2,1,1,1, , , , ,2,2,1,2,3,1,2,1, , , ,1,1,2,2,4,2,1,1,1, , ,2,2,2,1,1,3,2,2,3,2,1,1,1,1,4,1,1,4,1, ,1,8,1,1,2,1,2,1.3299477327
201801061350,1,9,2,1,1,1,2,1,1, ,1,1,1,2, , , , , ,2,1,1,2,2, , , , , , , , ,5,5,4,4,2,3,2,2, , , ,3,2,3, , , ,1,2,1,2,4, , ,2,2,2,2,2,4,4,4,2, ,1,2,5,5,5,5,5,5,5,5,5,5,1,1, ,1,1,2, , , , ,2,1,2,1,2,2,4, , , , , ,3,3,3,3, , , , , , , , , , ,2,2,2,1,1,1,2,2,3,2,4,4,1,1,6,1,1,4,1, ,1,1,3,3,2, ,2,3.8629500779
201801061360,1,9,2,1,1,2,2,1,2, ,99,2,3,1,1,3,1, ,2,2,1,2,1,3, , , , , , , , ,3,3,2,2,2,4,99,2, , , ,2,3,1, , , ,2,2,2,1,3,3,3,2,2,2,2,2,2,4,3,2, ,99,1,5,5,5,5,5,5,5,5,5,5,1,2,6,1,3,2, , , , ,1,1,1,1,2,1,4, , , , , ,1,2,3,1,1,2,1,4,2,1, , ,2,2,2,2,2,1,1,3,2,2,4,2,1,1,1,1,1,2,2,5,1, ,1,8,1,1,3,1,2,1.5054226966
201801061442,1,9,2,1,2,2,2,1,1, ,2,3,2,2, , , , , ,2,1,1,1,3, , , , , , , , ,2,3,3,4,3,3,1,2, , , ,3,3,3, , , ,2,3,3,4,3,2,2,3,3,3,3,3,2,3,2,3, ,1,2,4,5,5,1,5,5,1,5,1,5,5,2,1,1,1,1, , , , ,2,1,1,1,2,2,2,3,2, , , ,1,3,3,2,1,1,1,3,2,1, , ,2,3,2,2,2,1,1,2,2,3,2,2,1,1,1,1,1,1,1,6,1, ,1,7,1,1,2,1,1,.5048838091
201801061516,1,9,2,1,1,2,2,1,1, ,1,2,1,1,1,1,1, ,1,1,2,1,2,3, , , , , , , , ,1,1,1,1,1,1,2,1, , , ,1,1,1, , , ,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1, ,2,1,5,5,2,4,7,5,5,5,5,5,0,2,5,1,1,2, , , , ,1,1,1,2,1,1,1,1,4, , , ,3,3,3,1,1,3,2,2,1,2, , ,1,1,1,2,2,1,1,2,2,1,5,2,3,4,4,1,1,8, ,4,3,1,1,8,1,3,4,1,2,2.5052564292
201801061558,3,9,2,1,2,2,2,1,2, ,2,2,2,1,3,3,3, ,2,2,2,2,2,1, , , , , , , , ,4,4,3,3,3,3,1,1, , , ,2,3,2, , , ,2,2,2,3,3,3,3,2,2,3,3,2,2,2,2,3, ,2,2,4,2,2,5,1,3,5,5,6,1,4,2,5,1,2,2, , , , ,2,1,1,1,2,2,1,2,3, , , ,2,2,2,2,2,2,2,3,3,2, , ,2,2,1,2,2,1,1,3,2,1,6,2,1,1,1,1,1,2,2,5,2, ,2,9,1,1,3,1,1,1.0653926354
201801061614,1,9,2,1,1,1,1,1,2, ,2,2,2,2, , , , , ,1,2,2,2,1, , , , , , , , ,4,4,3,2,3,2,1,2, , , ,2,3,2, , , ,3,2,3,2,4, , ,2,2,2,2,3,1,2,1,2, ,1,1,4,2,1,1,5,3,1,5,1,5,8,1, ,1,1,2, , , , ,1,1,1,1,1,3,1,2,1, , , ,1,1,2,1,1,1,2,3,3,2, , ,1,2,2,2,2,1,1,3,1,1,6,2,1,1,4,2,2,12, ,5,2, ,2,9,1, ,5,1,2,.7841561939
201801061714,1,9,1,2,1,1,1,1,3,2, ,2,3,1,2,2,1,1, ,2,2,2,2,1,2,3,1,3,3,2,2,1, , , , , , , , ,2,1, , , , ,2,2,2, , , ,2,4, , ,2,2,3,2,3,3,3,3,3,3, ,2,5,5,1,5,7,5,1,3,5,5,3,2,1,1,1,2,2,2,2,1, , , , ,2,5,1,1,2,3,1,1, , , ,1,2,3,2,3,2,3,1,1, , ,2,2,2,1,1,1,2,3,1,2,3,4,1,1,6,6, ,4,3,2,2,6,2,2,4,1,1,1.3162426064
201801061814,1,9,2,1,1,2,2,1,2, ,2,2,2,2, , , , , ,2,1,1,2,2, , , , , , , , ,2,3,2,2,4,4,1,2, , , ,1,3,1, , , ,2,3,2,3,2,1,2,3,3,3,3,3,3,3,2,3, ,2,2,5,2,1,1,5,5,5,5,5,5,4,2,7,1,1,2, , , , ,2,1,1,1,2,3,2,3,2, , , ,3,3,1,2,2,3,3,4,4,2, , ,2,2,2,2,2,1,1,3,1,3,1,2,1,1,1,1,1,1,2,6,3,1,1,6,2,3,99,1,2,1.9286851713
201801061822,3,9,1,1,2,2,2,1,2,2, ,2,1,2, , , , , ,2,2,1,1,2,2,2,2,3,3,3,2,2, , , , , , , , ,3,1,3, , , ,2,2,2, , , ,1,4, , ,4,4,4,4,4,4,4,4,4,1, ,1,4,5,3,4,5,5,5,5,5,5,2,1, ,1,1,2,1,1,1,1, , , , ,3, , , , ,1,2,1, , , ,3, , , , , , , , , , ,2,2,2,1,1,2,2,3,2,2,1,1,1,1,3,2,2,5,4,99,9,5,2,1,3,1,2,.4495098924
201801061904,3,9,1,1,1,1,1,1,3,2, ,2,2,1,2,2,2,1, ,2,2,1,2,2,2,3,2,3,1,2,2,2, , , , , , , , ,2,1,2, , , ,2,2,2, , , ,1,4, , ,2,2,2,3,2,2,3,3,2,1, ,1,4,2,5,1,5,3,1,5,1,1,8,1, ,1,1,2,1,1,1,1, , , , ,1,2,2,3,3,2,2,2, , , ,2,2,2,2,3,2,2,1,1, , ,2,2,2,2,1,3,1,1,6,2,1,1,1,1,5,1,2,5,4,2,2,3,3,1,3,1,2,.2463583995
201801061985,1,9,2,2,1,1,2,1,2, ,2,2,3,2, , , , , ,2,2,1,2,1, , , , , , , , ,3,3,2,4,4,3,1,1, , , ,1,3,1, , , ,2,2,2,1,4, , ,3,4,3,3,3,3,3,3,3, ,1,2,4,2,1,5,5,5,5,3,6,5,5,2,3,1,1,1, , , , ,2,2,1,1,1,2,1,3,2, , , ,1,2,2,2,2,3,2,3,3,3, , ,2,2,1,2,2,1,1,2,1,2,3,2,1,1,1,1,1,1,1,3,1, ,1,6,2,1,2,0,1,.910071972
201801062079,1,9,1,1,1,2,2,1,3,2, ,3,4,2, , , , , ,2,2,1,2,1,3,3,2,3,4,4,2,2, , , , , , , , ,2,2, , , , ,2,3,3, , , ,1,3,3,3,3,3,3,3,4,3,3,3,3,1, ,2,1,5,5,5,5,5,5,5,5,99,1,2,1,1,1,1,2,1,1,1, , , , ,3, , , , ,1,1,1, , , ,3, , , , , , , , , , ,1,2,2,2,1,2,2,3,2,2,1,1,1,1,1,1,2,5,4,1,1,5,2,3,3,1,2,1.5771155888
201801062280,1,9,1,1,2,2,2,1,2,2, ,2,2,2, , , , , ,2,2,1,2,1,2,2,1,3,3,3,2,2, , , , , , , , ,2,1, , , , ,2,2,2, , , ,1,3,2,3,4,4,4,4,4,3,3,2,3,1, ,2,4,2,1,3,5,5,2,5,5,5,4,2,6,1,1,2,2,1,1,1, , , , ,2,2,1,3,2,1,2,1, , , ,2,2,3,3,4,3,3,1,3, , ,2,2,2,2,1,3,2,3,2,2,1,1,1,1,1,1,1,6,1, ,1,7,1,1,3,1,2,.7273816725
201801062297,1,9,2,1,1,1,2,1,3, ,2,2,3,1,3,2,3, ,2,2,1,1,2,3, , , , , , , , ,3,3,2,4,4,4,2,2, , , ,1,2,1, , , ,3,3,3,1,4, , ,3,3,3,3,2,3,3,3,3, ,1,1,4,2,5,5,5,5,1,5,6,5,4,2,6,1,1,2, , , , ,2,1,1,1,2,2,2,4,2, , , ,3,3,3,2,2,2,2,4,4,2, , ,3,3,2,2,2,2,1,3,1,3,2,2,1,1,1,1,3,1,2,5,1, ,1,7,1,1,2,1,2,.6443902361
201801062310,1,9,1,1,2,2,2,1,2,2, ,2,3,2, , , , , ,2,1,1,2,2,2,3,2,3,4,2,1,2, , , , , , , , ,2,2,3, , , ,2,2,2, , , ,3,2,2,3,2,2,2,2,2,1,2,1,2,1, ,2,2,2,1,4,5,1,2,4,4,3,3,2,3,1,3,2,1,1,1,1, , , , ,2,3,1,1,2,1,1,1, , , ,2,2,1,1,2,2,1,1,1, , ,1,2,2,1,1,1,2,2,4,2,1,1,1,1,6,2,2,6,1, ,1,3,3,3,4,1,1,.585074383
201801062327,1,9,2,1,1,2,1,1,3, ,2,3,4,2, , , , , ,2,1,2,2,1, , , , , , , , ,2,4,3,2,3,3,1,1, , , ,3,3,3, , , ,3,2,2,2,4, , ,2,2,3,2,4,2,2,2,4, ,2,2,4,2,1,1,5,3,1,3,5,5,8,2,3,1,1,1, , , , ,2,1,1,1,2,3,2,3,2, , , ,1,3,2,1,2,2,2,3,2,1, , ,2,1,2,2,2,1,1,1,1,2,3,2,1,1,1,1,6,1,1,2,3,2,2,8,1,1,4,1,2,3.0948550583
201801062333,3,9,1,1,2,2,2,1,2,2, ,2,2,2, , , , , ,2,2,1,2,1,2,2,1,3,4,2,2,2, , , , , , , , ,1,2,2, , , ,3,3,3, , , ,2,3,3,3,3,3,3,4,3,3,3,3,3,1, ,1,4,5,2,1,5,5,5,5,3,5,3,2,1,1,3,2,2,1,2,1, , , , ,2,2,1,3,2,1,3,1, , , ,2,1,1,1,3,2,1,1,3, , ,2,2,2,1,1,3,2,3,2,2,1,1,1,1,1,1,1,3,1, ,1,6,2,1,3,1,2,.9038049034
201801062334,1,9,1,1,1,2,2,1,2,2, ,2,4,2, , , , , ,2,2,1,2,1,5,5,1,3,4,4,2,2, , , , , , , , ,3,3,3, , , ,2,3,2, , , ,3,3,3,4,3,4,4,4,4,4,4,4,4,1, ,2,5,5,1,5,7,1,5,5,6,5,1,2,7,1,3,2,2,1,1,1, , , , ,2,2,4, , ,1,1,1, , , ,3, , , , , , , , , , ,2,2,2,1,1,1,2,3,2,2,1,1,1,1,1,1,1,6,3,1,1,99,99,3,99,0,2,3.198627242
201801062381,1,9,2,1,2,2,1,1,3, ,1,2,3,2, , , , , ,2,2,2,2,0, , , , , , , , ,2,5,2,4,4,3,2,2, , , ,2,3,2, , , ,3,3,2,1,4, , ,3,3,4,3,3,3,2,2,3, ,2,1,4,2,1,1,4,2,1,5,1,5,6,2,2,1,1,2, , , , ,2,2,2,2,2,2,1,2,3, , , ,1,2,2,2,2,1,2,4,4,4, , ,2,1,1,2,2,2,1,1,2,3,2,2,1,1,1,1,2,12, ,6,3,2,2,4,2,3,3,1,2,1.2628928191
201801062435,3,9,2,1,2,2,2,1,2, ,2,2,2,2, , , , , ,2,2,1,2,1, , , , , , , , ,3,4,2,3,3,3,1,1, , , ,1,1,1, , , ,2,2,2,2,3,3,2,3,3,3,3,3,2,2,2,2, ,1,2,4,2,1,5,4,4,1,4,1,5,5,2,6,1,3,2, , , , ,2,1,1,1,1,2,1,2,2, , , ,2,1,1,1,2,2,2,3,2,1, , ,2,1,2,2,2,2,1,4,2,3,2,2,1,1,1,1,5,12, ,5,4,1,1,3,3,1,3,1,1,.1977381777
201801062465,3,9,2,1,1,2,1,1,2, ,2,2,2,2, , , , , ,2,2,1,2,1, , , , , , , , ,3,3,2,3,4,3,2,1, , , ,2,2,1, , , ,3,2,3,2,3,1,2,3,3,4,3,3,3,3,2,3, ,1,1,4,2,1,5,5,3,5,4,1,5,6,2,3,1,1,2, , , , ,2,1,1,1,2,3,4, , , , , ,2,3,2,2,2,2,2,3,3,2, , ,2,3,2,2,2,1,1,2,1,2,3,2,1,1,1,1,1,10, ,5,3,1,1,8,1,1,3,1,2,2.0057114542
201801062481,3,9,1,1,1,1,2,1,2,2, ,2,4,2, , , , , ,2,2,2,2,0,2,4,1,4,4,4,2,2, , , , , , , , ,3,1,2, , , ,2,3,3, , , ,2,4, , ,4,4,4,4,4,4,4,4,4,3, ,2,4,2,5,5,5,5,5,3,1,5,5,2,3,1,1,2,1,1,1,1, , , , ,3, , , , ,1,1,2, , , ,3, , , , , , , , , , ,2,2,2,1,1,1,2,1,5,2,1,1,1,1,2,12, ,6,1, ,1,6,2,1,2,1,1,1.1721382995
201801062483,1,9,1,1,2,2,2,1,3,2, ,3,3,2, , , , , ,2,1,2,2,1,4,5,4,4,2,4,1,2, , , , , , , , ,2,2, , , , ,2,3,2, , , ,4,3,2,3,3,4,3,2,3,3,4,4,3,3, ,2,5,2,99,4,6,5,2,5,1,2,2,2,3,1,3,1,2,1,2,2, , , , ,3, , , , ,3,1,3, , , ,3, , , , , , , , , , ,2,2,2,1,1,2,2,2,3,2,1,1,4,1,1,1,1,1,3,2,2,6,2,1,3,0,1,.6089567773
201801062536,3,9,1,2,1,2,2,1,2,2, ,2,2,2, , , , , ,2,2,1,2,1,1,4,1,3,3,3,2,1, , , , , , , , ,1,1,1, , , ,2,2,2, , , ,4,3,2,3,4,4,4,4,4,3,3,3,3,1, ,1,4,5,5,5,5,5,5,5,5,3,2,1, ,1,1,1,1,1,1,1, , , , ,3, , , , ,3,1,3, , , ,2,1,2,3,3,3,3,3,3, , ,2,2,2,1,1,2,2,2,4,1,1,3,1,1,1,1,2,4,3,1,1,5,2,3,3,1,1,.7526447979
201801062813,1,9,1,1,1,1,1,1,2,2, ,3,2,2, , , , , ,2,2,1,2,1,2,3,3,2,2,2,1,1, , , , , , , , ,3,3,3, , , ,2,2,2, , , ,1,2,3,2,2,2,2,2,2,1,1,1,1,2, ,2,4,2,4,99,5,5,1,4,1,2,5,1, ,1,1,1,1,1,1,1, , , , ,1,3,2,1,1,1,1,1, , , ,1,2,3,3,4,1,1,1,1, , ,1,2,1,1,3,2,2,1,6,2,1,1,1,2,1,2,2,5,1, ,1,8,1, ,2,1,2,2.0001978589
201801062847,1,9,2,1,2,1,2,1,1, ,2,2,3,2, , , , , ,2,2,1,2,1, , , , , , , , ,3,4,2,3,3,2,2,2, , , ,3,3,2, , , ,3,2,3,2,1,1,2,3,3,3,3,3,2,2,2,3, ,1,1,4,2,1,5,4,2,1,4,1,2,5,2,8,1,2,2, , , , ,1,1,1,1,1,3,1,2,2, , , ,1,2,2,1,2,2,2,3,2,3, , ,1,2,2,2,2,1,3,3,2,1,6,2,1,1,1,1,6,1,2,2,2, ,2,4,2,1,4,1,1,.7361512901
201801062899,3,9,2,1,1,2,1,1,3, ,1,2,1,2, , , , , ,2,2,1,2,1, , , , , , , , ,3,4,1,4,4,2,2,2, , , ,1,3,1, , , ,3,2,2,2,4, , ,3,4,3,3,4,2,3,4,1, ,2,1,4,2,1,1,5,3,1,3,5,1,9,1, ,1,1,2, , , , ,2,2,1,1,1,2,1,1,1, , , ,1,1,2,1,2,2,3,4,4,3, , ,2,2,2,2,2,1,3,1,2,1,6,2,1,1,1,1,6,2,2,6,2, ,2,3,3,1,4,1,2,.844668009
201801063110,1,9,1,1,2,2,2,1,3,1, ,2,2,2, , , , , ,2,1,1,2,2,2,3,1,4,2,3,2,2, , , , , , , , ,2,2,2, , , ,2,2,2, , , ,2,4, , ,3,3,3,3,3,1,1,2,3,1, ,2,5,2,5,5,5,5,1,5,6,5,3,2,7,1,1,2,1,1,1,1, , , , ,2,2,3, , ,1,1,1, , , ,2,2,2,2,3,3,2,1,2, , ,2,1,2,2,3,2,2,3,2,2,1,1,1,1,2,12, ,6,3,1,1,4,2,2,3,1,2,1.4048887919
201801063264,3,9,2,1,1,2,2,1,2, ,2,2,2,2, , , , , ,2,2,1,2,1, , , , , , , , ,2,4,2,4,2,2,99,1, , , ,2,3,2, , , ,1,2,2,3,2,1,1,2,2,3,2,2,2,2,3,1, ,2,1,4,2,2,4,5,1,5,3,5,5,4,2,2,1,1,2, , , , ,1,1,1,1,2,2,2,1,2, , , ,3,3,2,1,2,2,2,3,3,2, , ,2,2,2,2,2,1,3,3,2,2,3,2,2,2,1,1,6,1,1,2,2, ,2,99,99,1,99,1,2,1.0044949352
201801063504,1,9,2,1,1,2,2,1,2, ,2,2,3,1,1,2,3, ,2,2,1,2,2,2, , , , , , , , ,4,3,3,4,3,4,2,1, , , ,3,3,2, , , ,3,3,3,2,4, , ,3,3,3,3,3,4,4,4,3, ,1,1,5,2,5,5,2,5,5,99,2,5,1,2,2,1,3,2, , , , ,2,1,1,1,2,2,1,3,2, , , ,2,2,2,2,3,3,3,3,3,3, , ,3,3,2,2,2,1,3,1,2,2,3,2,1,1,1,1,2,12, ,6,4,1,1,4,2,3,3,0,2,3.4271435571
201801063593,3,9,1,1,1,2,2,1,2,2, ,2,2,2, , , , , ,2,2,1,2,1,1,2,1,3,4,2,2,2, , , , , , , , ,2,1,2, , , ,2,3,3, , , ,4,4, , ,99,99,99,99,99,99,99,99,99,99, ,99,99,99,99,99,99,99,99,99,99,99,0,99, ,1,99,99,99,99,99,99, , , , ,99, , , , ,99,99,99, , , ,99, , , , , , , , , , ,99,99,99,1,3,1,2,1,5,2,1,1,1,1,6,12, ,6,4,2,2,1,3,1,4,1,2,.3829916991
201801063771,3,9,1,1,2,1,2,1,2,2, ,2,1,1,2,3,3,2, ,1,2,2,2,2,2,4,1,4,3,3,2,1, , , , , , , , ,2,2, , , , ,1,2,2, , , ,3,4, , ,2,3,3,3,3,3,2,2,2,1, ,2,4,2,1,1,5,3,1,3,1,1,10,2,3,1,1,2,2,2,1,1, , , , ,2,3,2,2,2,1,1,3, , , ,2,1,3,2,3,3,2,1,3, , ,2,2,2,1,3,2,1,3,2,1,2,3,1,1,99,12, ,5,1, ,1,99,99,99,3,0,1,2.191144908
